127.0.0.1 - - [26/Aug/2024:09:11:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:21:20 +0900] "GET /client/ex15_table.html HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:26:13 +0900] "GET /client/ex15_table.html HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:26:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:26:25 +0900] "GET /client/ex15_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:26:29 +0900] "GET /client/ex15_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:26:31 +0900] "GET /client/ex15_table.html HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:29:30 +0900] "GET /client/ex15_table.html HTTP/1.1" 200 1267
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:29:30 +0900] "GET /client/images/face01.png HTTP/1.1" 200 8661
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:34:14 +0900] "GET /client/ex15_table.html HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:37:03 +0900] "GET /client/ex15_table.html HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:37:30 +0900] "GET /client/ex15_table.html HTTP/1.1" 200 1568
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:46:14 +0900] "GET /client/ex15_table.html HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:46:25 +0900] "GET /client/ex15_table.html HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:46:26 +0900] "GET /client/ex15_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:50:38 +0900] "GET /client/ex15_table.html HTTP/1.1" 200 2156
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:50:49 +0900] "GET /client/ex15_table.html HTTP/1.1" 200 2166
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:50:53 +0900] "GET /client/ex15_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:51:18 +0900] "GET /client/ex15_table.html HTTP/1.1" 200 2187
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:52:14 +0900] "GET /client/ex15_table.html HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:52:25 +0900] "GET /client/ex15_table.html HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:14:51 +0900] "GET /client/ex15_table.html HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:17:50 +0900] "GET /client/ex16_table.html HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:19:41 +0900] "GET /client/ex16_table.html HTTP/1.1" 200 1336
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:20:46 +0900] "GET /client/ex16_table.html HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:21:49 +0900] "GET /client/ex16_table.html HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:21:50 +0900] "GET /client/ex16_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:21:51 +0900] "GET /client/ex16_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:21:51 +0900] "GET /client/ex16_table.html HTTP/1.1" 304 -
